Jahr	Schweiz
1997	30.4
1998	29.95
1999	29.64
2000	28.74
2001	27.92
2002	27.93
2003	27.02
2004	26.06
2005	25.21
2006	24.52
2007	23.08
2008	22.19
2009	21.68
2010	20.94
2011	20.73
2012	20.1
2013	19.56
2014	18.73
2015	18.7
2016	17.9
