"Jahr"	"Kleinhüningen"	"Klybeck"
"2011"	.03317664469	.03925921090
"2012"	.03534100027	.04092003209
"2013"	.04042298441	.03597274760
"2014"	.03894056605	.03478029378
"2015"	.04104784722	.03361415024
"2016"	.04000398571	.02131832747
"2017"	.03905407245	.02049055853

