"CityDescr"	"Kernstadt"	"CH Agglomerationsgürtel"	"DE Agglomerationsgürtel"	"FR Agglomerationsgürtel"
Basel	25.66	30.31	33.05	37.96
Bern	23.86	32.57		
Genève	26.99	34.9		42.92
Lausanne	29.77	36.36		
Zürich	24.86	33.21		
