""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.063312	12
"2014-02"	0.063312	16
"2014-03"	0.063312	13
"2014-04"	0.063312	15
"2014-05"	0.063312	14
"2014-06"	0.063312	15
"2014-07"	0.063312	16
"2014-08"	0.063312	15
"2014-09"	0.063312	14
"2014-10"	0.063312	12
"2014-11"	0.063312	13
"2014-12"	0.063312	13
"2015-01"	0.050875	12
"2015-02"	0.050875	12
"2015-03"	0.050875	11
"2015-04"	0.050875	12
"2015-05"	0.050875	9
"2015-06"	0.050875	12
"2015-07"	0.050875	10
"2015-08"	0.050875	10
"2015-09"	0.050875	11
"2015-10"	0.050875	10
"2015-11"	0.050875	13
"2015-12"	0.050875	13
"2016-01"	0.066703	14
"2016-02"	0.066703	12
"2016-03"	0.066703	11
"2016-04"	0.066703	12
"2016-05"	0.066703	13
"2016-06"	0.066703	13
"2016-07"	0.066703	14
"2016-08"	0.066703	15
"2016-09"	0.066703	16
"2016-10"	0.066703	18
"2016-11"	0.066703	18
"2016-12"	0.066703	21
"2017-01"	0.069341	20
"2017-02"	0.069341	20
"2017-03"	0.069341	19
"2017-04"	0.069341	19
"2017-05"	0.069341	12
"2017-06"	0.069341	9
"2017-07"	0.069341	13
"2017-08"	0.069341	13
"2017-09"	0.069341	14
"2017-10"	0.069341	17
"2017-11"	0.069341	13
"2017-12"	0.069341	15
"2018-01"	0.065196	19
"2018-02"	0.065196	17
"2018-03"	0.065196	24
"2018-04"	0.065196	19
"2018-05"	0.065196	16
"2018-06"	0.065196	10
"2018-07"	0.065196	11
"2018-08"	0.065196	10
"2018-09"	0.065196	7
"2018-10"	0.065196	11
"2018-11"	0.065196	14
"2018-12"	0.065196	15
"2019-01"	0.057282	15
"2019-02"	0.057282	12
"2019-03"	0.057282	14
"2019-04"	0.057282	13
"2019-05"	0.057282	15
"2019-06"	0.057282	12
"2019-07"	0.057282	13
"2019-08"	0.057282	10
"2019-09"	0.057282	11
"2019-10"	0.057282	11
"2019-11"	0.057282	12
"2019-12"	0.057282	14
"2020-01"	0.076878	15
"2020-02"	0.076878	15
"2020-03"	0.076878	20
"2020-04"	0.076878	20
"2020-05"	0.076878	21
"2020-06"	0.076878	21
"2020-07"	0.076878	21
"2020-08"	0.076878	19
"2020-09"	0.076878	14
"2020-10"	0.076878	12
"2020-11"	0.076878	12
"2020-12"	0.076878	14
"2021-01"	0.043715	15
"2021-02"	0.043715	14
"2021-03"	0.043715	16
"2021-04"	0.043715	13
"2021-05"	0.043715	10
"2021-06"	0.043715	9
"2021-07"	0.043715	5
"2021-08"	0.043715	9
"2021-09"	0.043715	7
"2021-10"	0.043715	6
"2021-11"	0.043715	5
"2021-12"	0.043715	7
"2022-01"	0.039193	11
"2022-02"	0.039193	11
"2022-03"	0.039193	14
"2022-04"	0.039193	9
"2022-05"	0.039193	9
"2022-06"	0.039193	9
"2022-07"	0.039193	8
"2022-08"	0.039193	7
"2022-09"	0.039193	7
"2022-10"	0.039193	7
"2022-11"	0.039193	5
"2022-12"	0.039193	7
"2023-01"	0.042961	6
"2023-02"	0.042961	11
"2023-03"	0.042961	10
"2023-04"	0.042961	10
"2023-05"	0.042961	11
"2023-06"	0.042961	9
"2023-07"	0.042961	8
"2023-08"	0.042961	10
"2023-09"	0.042961	11
"2023-10"	0.042961	11
"2023-11"	0.042961	8
"2023-12"	0.042961	9

