"Grösse"	"Basel-Stadt"	"Basel-Landschaft"	"Aargau"	"Zürich"
"bis 9 VZÄ"	27811.8349348	32796.3945090	77220.7895696	195964.0180844
"10 bis 49 VZÄ"	31906.1623746	33304.0655438	71528.7202486	205147.8597000
"50 bis 249 VZÄ"	38328.1335709	35915.8928478	66456.2792196	203100.4909524
"250 VZÄ u.m."	53586.3695299	15269.7040447	46542.9369272	184285.5377442

