jahr	Wanderungssaldo	Zuzug	Wegzug
2006	392	12227	-11835
2007	559	12692	-12133
2008	2034	14169	-12135
2009	1666	13472	-11806
2010	263	13589	-13326
2011	1668	14325	-12657
2012	1738	14179	-12441
2013	1899	15236	-13337
2014	793	13520	-12727
2015	712	14279	-13567
2016	679	14626	-13947
