Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	>69 J.	Männer	Männer	Total
2003	80.95676172953	80.124223602484	70.121951219512	77.102803738317	77.056277056277	85.232067510548	88.059701492537	79.327731092436	79.327731092436	80.849358974358
2005	82.992565055762	91.379310344827	83.529411764705	80.487804878048	80.384615384615	84.279475982532	89.340101522842	84.193548387096	84.193548387096	84.16
2007	80.761904761904	87.323943661971	78.260869565217	75.471698113207	82.089552238805	80.63063063063	84.140969162995	83.053691275167	83.053691275167	81.543624161073
2011	87.271142109851	89.230769230769	83.333333333333	81.481481481481	86.757990867579	87.890625	92.715231788079	87.519747235387	87.519747235387	87.555886736214
2015	85.338015803336	91.447368421052	83.870967741935	82.456140350877	84.177215189873	85.15625	90.489130434782	85.92	85.92	86.057319907048
2003_n	1087	161	164	214	231	237	201	595	595	1248
2005_n	1076	174	170	205	260	229	197	620	620	1250
2007_n	1050	142	161	159	201	222	227	596	596	1192
2011_n	1147	195	162	162	219	256	302	633	633	1342
2015_n	1139	152	93	114	158	256	368	625	625	1291
