	Nicht motorisiert (Velo)	Mit Tretunterstützung (E-Bike)	Mofas
2011	100	6	14
2012	69	7	10
2013	99	11	6
2014	151	12	8
2015	166	10	6
2016	158	20	13
2017	147	33	8
2018	153	29	10
2019	152	42	9
2020	123	30	6
