jahr	Schweiz	Ausland	15-24 J.	25-39 J.	40-54 J.	>65 J.	Männer	Frauen	Total
2000	41.6	25.4	28.9	41.4	36.8	33.8	39.6	35.7	37.5
2004	44.6	20.4	30.7	37.7	44.7	31.2	40.6	35.7	38
2007	37.5	20.2	28.1	30.8	38.4	30.1	32.3	32.7	32.5
2010	35.649674305757	27.0181378476421	39.5747194329592	25.5960896518836	39.9655370476737	24.8122122607221	34.4397890630644	30.9606238069046	32.6040208895109
2013	35.35	18.97	25.29	27.23	31.64	25.46	28.12	30.57	29.46
