Jahr	Nettoschuldenquote	Zielwert
2000	8.6	6.5
2001	8.5	6.5
2002	8.5	6.5
2003	8.1	6.5
2004	7.7	6.5
2005	6.9	6.5
2006	4.732302688	6.5
2007	5.470215803	6.5
2008	5.112919714	6.5
2009	4.553449541	6.5
2010	3.3	6.5
2011	3	6.5
2012	3.5	6.5
2013	3.2	6.5
2014	3	6.5
2015	2.9	6.5
2016	3	6.5
2017	2.9	6.5
2018	2.5	6.5
2019	1.5	6.5
2020	0.2	6.5
2021	-0.1	6.5
