Jahr	Siedlungsabfälle pro Kopf	Abfall	Bevölkerung
2006	178.794954388907	33692.3	188441
2007	177.196652719665	33371.8	188332
2008	171.672836894436	32459.9	189080
2009	186.133982232198	35492.4	190682
2010	176.790868265033	33934.3	191946
2011	164.780355303007	31666.5	192174
2012	168.527734577501	32509	192900
2013	163.478975623539	31822	194655
2014	165.134685801128	32380.6	196086
2015	158.032029643918	31133.1	197005
