Saison	Theater Basel	Fauteuil	Tabourettli	Basler Kinder Theater	Kaserne	Theater Arlecchino
2006/2007	617	251	165	89	76	94
2007/2008	620	267	157	101	61	103
2008/2009	627	264	147	100	143	96
2009/2010	599	257	167	100	139	100
2010/2011	625	249	172	97	153	128
2011/2012	621	283	152	94	165	117
2012/2013	576	285	152	95	170	126
2013/2014	572	276	178	94	158	121
2014/2015	619	277	166	93	149	114
2015/2016		291	159	92		115
