Jahr	 1. Kl. schw. Knaben	 1. Kl. schw. Mädchen	 1. Kl. ausl. Knaben	 1. Kl. ausl. Mädchen	 3. Kl. schw. Knaben	 3. Kl. schw. Mädchen	 3. Kl. ausl. Knaben	 3. Kl. ausl. Mädchen	 9. Kl. schw. Knaben	 9. Kl. schw. Mädchen	 9. Kl. ausl. Knaben	 9. Kl. ausl. Mädchen
1980	5	8	13	23	9	9	20	19	7	10	11	9
1990	6	8	15	17	11	10	21	26	13	8	21	24
2000	9	13	16	20	16	23	36	30	18	14	29	24
2010	9	11	16	16	20	19	31	28	24	17	36	34
2011	7	10	17	20	19	22	33	34	28	18	39	29
2012	11	12	19	20	19	21	32	24	24	22	42	22
2013	8	14	16	18	21	20	33	28	27	21	44	30
2014	9	11	14	18	21	14	29	25	25	18	32	33
2015	9	12	14	19	18	21	31	30	23	18	33	24
