Jahr	Altersquote	20-64 Jährige	0 -19 jährige
2006	404.320666319625	7684	31068
2006	745.035971223021	4170	31068
2006	313.881592240856	9898	31068
2006	264.836757309692	11731	31068
2006	552.32	5625	31068
2006	662.007244832729	4693	31068
2006	2029.26192031352	1531	31068
2006	890.966446802408	3487	31068
2006	4309.015256588072	721	31068
2006	280.371807598592	11081	31068
2006	667.411385606874	4655	31068
2006	1906.01226993865	1630	31068
2006	275.401116922258	11281	31068
2006	1254.765751211631	2476	31068
2006	665.695307478037	4667	31068
2006	2054.761904761904	1512	31068
2006	1014.299706170421	3063	31068
2006	466.486486486486	6660	31068
2006	597.002305918524	5204	31068
2006	242.775650543096	12797	31068
2006	947.77303233679	3278	31068
2006	2.186361270171	7684	168
2006	4.028776978417	4170	168
2006	1.697312588401	9898	168
2006	1.432102975023	11731	168
2006	2.986666666666	5625	168
2006	3.579799701683	4693	168
2006	10.97322011757	1531	168
2006	4.817895038715	3487	168
2006	23.300970873786	721	168
2006	1.516108654453	11081	168
2006	3.60902255639	4655	168
2006	10.306748466257	1630	168
2006	1.48922967822	11281	168
2006	6.785137318255	2476	168
2006	3.599742875508	4667	168
2006	11.111111111111	1512	168
2006	5.484818805093	3063	168
2006	2.522522522522	6660	168
2006	3.228285933897	5204	168
2006	1.312807689302	12797	168
2006	5.125076266015	3278	168
2006	4.880270692347	7684	375
2006	8.992805755395	4170	375
2006	3.788644170539	9898	375
2006	3.196658426391	11731	375
2006	6.666666666666	5625	375
2006	7.990624334114	4693	375
2006	24.49379490529	1531	375
2006	10.754229997132	3487	375
2006	52.011095700416	721	375
2006	3.384171103691	11081	375
2006	8.055853920515	4655	375
2006	23.006134969325	1630	375
2006	3.324173388883	11281	375
2006	15.145395799676	2476	375
2006	8.035140347118	4667	375
2006	24.801587301587	1512	375
2006	12.242899118511	3063	375
2006	5.63063063063	6660	375
2006	7.205995388162	5204	375
2006	2.930374306478	12797	375
2006	11.439902379499	3278	375
2006	17.868297761582	7684	1373
2006	32.925659472422	4170	1373
2006	13.871489189735	9898	1373
2006	11.704032051828	11731	1373
2006	24.408888888888	5625	1373
2006	29.256339228638	4693	1373
2006	89.67994774657	1531	1373
2006	39.374820762833	3487	1373
2006	190.429958391123	721	1373
2006	12.390578467647	11081	1373
2006	29.495166487647	4655	1373
2006	84.233128834355	1630	1373
2006	12.1709068345	11281	1373
2006	55.452342487883	2476	1373
2006	29.419327190914	4667	1373
2006	90.806878306878	1512	1373
2006	44.825334639242	3063	1373
2006	20.615615615615	6660	1373
2006	26.383551114527	5204	1373
2006	10.729077127451	12797	1373
2006	41.885295912141	3278	1373
2006	29.750130140551	7684	2286
2006	54.820143884892	4170	2286
2006	23.095574863608	9898	2286
2006	19.486829767283	11731	2286
2006	40.64	5625	2286
2006	48.710845940762	4693	2286
2006	149.314173742651	1531	2286
2006	65.557786062517	3487	2286
2006	317.059639389736	721	2286
2006	20.6299070481	11081	2286
2006	49.108485499462	4655	2286
2006	140.245398773006	1630	2286
2006	20.264160978636	11281	2286
2006	92.32633279483	2476	2286
2006	48.982215556031	4667	2286
2006	151.190476190476	1512	2286
2006	74.632713026444	3063	2286
2006	34.324324324324	6660	2286
2006	43.927747886241	5204	2286
2006	17.86356177229	12797	2286
2006	69.73764490543	3278	2286
2006	32.964601769911	7684	2533
2006	60.743405275779	4170	2533
2006	25.591028490604	9898	2533
2006	21.592362117466	11731	2533
2006	45.031111111111	5625	2533
2006	53.974003835499	4693	2533
2006	165.447419986936	1531	2533
2006	72.641238887295	3487	2533
2006	351.31761442441	721	2533
2006	22.858947748398	11081	2533
2006	54.414607948442	4655	2533
2006	155.398773006134	1630	2533
2006	22.453683184114	11281	2533
2006	102.30210016155	2476	2533
2006	54.274694664666	4667	2533
2006	167.526455026455	1512	2533
2006	82.69670257917	3063	2533
2006	38.033033033033	6660	2533
2006	48.674096848578	5204	2533
2006	19.793701648823	12797	2533
2006	77.272727272727	3278	2533
2006	13.105153565851	7684	1007
2006	24.148681055155	4170	1007
2006	10.173772479288	9898	1007
2006	8.58409342767	11731	1007
2006	17.902222222222	5625	1007
2006	21.457489878542	4693	1007
2006	65.774003919007	1531	1007
2006	28.878692285632	3487	1007
2006	139.667128987517	721	1007
2006	9.087627470444	11081	1007
2006	21.632653061224	4655	1007
2006	61.779141104294	1630	1007
2006	8.926513606949	11281	1007
2006	40.670436187399	2476	1007
2006	21.577030212127	4667	1007
2006	66.600529100529	1512	1007
2006	32.876265099575	3063	1007
2006	15.12012012012	6660	1007
2006	19.35049961568	5204	1007
2006	7.869031804329	12797	1007
2006	30.719951189749	3278	1007
2006	15.642894325871	7684	1202
2006	28.824940047961	4170	1202
2006	12.143867447969	9898	1202
2006	10.246355809393	11731	1202
2006	21.368888888888	5625	1202
2006	25.612614532282	4693	1202
2006	78.510777269758	1531	1202
2006	34.470891884141	3487	1202
2006	166.712898751733	721	1202
2006	10.847396444364	11081	1202
2006	25.821697099892	4655	1202
2006	73.742331288343	1630	1202
2006	10.655083769169	11281	1202
2006	48.546042003231	2476	1202
2006	25.755303192629	4667	1202
2006	79.497354497354	1512	1202
2006	39.242572641201	3063	1202
2006	18.048048048048	6660	1202
2006	23.097617217524	5204	1202
2006	9.392826443697	12797	1202
2006	36.668700427089	3278	1202
2006	38.053097345132	7684	2924
2006	70.119904076738	4170	2924
2006	29.541321479086	9898	2924
2006	24.925411303384	11731	2924
2006	51.982222222222	5625	2924
2006	62.305561474536	4693	2924
2006	190.986283474853	1531	2924
2006	83.854316030972	3487	2924
2006	405.547850208044	721	2924
2006	26.387510152513	11081	2924
2006	62.8141783029	4655	2924
2006	179.386503067484	1630	2924
2006	25.919687970924	11281	2924
2006	118.093699515347	2476	2924
2006	62.652667666595	4667	2924
2006	193.386243386243	1512	2924
2006	95.461965393405	3063	2924
2006	43.903903903903	6660	2924
2006	56.187548039969	5204	2924
2006	22.849105259045	12797	2924
2006	89.200732153752	3278	2924
2006	18.323789692868	7684	1408
2006	33.764988009592	4170	1408
