Jahr	Schweiz	Ausland	Total
2010	28.735632184	16.470588235	22.674418605
2011	27.173913043	11.111111111	19.230769231
2012	20	11.764705882	15.882352941
2013	23.655913978	15.662650602	19.886363636
2014	21.111111111	14.634146341	18.023255814
2015	18.987341772	11.842105263	15.483870968
2016	20	12.345679012	16.149068323
2017	32.222222222	17.721518987	25.443786982
2018	24.175824176	14.117647059	19.318181818
2019	21.978021978	9.4117647059	15.909090909
