	Quellensteuerertrag 2013	Quellensteuerertrag 2022
Erwerb	246377275	390096682
Versicherung	1591104	2932637
Grenzgänger Deutschland u.a.	87232515	87655292
Künstler, Sport	1635868	1150027
Verwaltungsräte	5695505	12358638
Renten	3175223	3540702
Kapitalleistungen	19568201	41033541
