Staatsangehörigkeit	 Mittelwert 2005	 Mittelwert 2014	 Anzahl Veranlagungen 2005 (rechte Skala)
Schweiz	63349	65597	85613
Deutschland	83738	93739	4285
Italien	50529	59083	5396
Türkei	39414	36857	3381
EU-17 + EFTA	73255	103052	4906
EU-Ost	43951	73641	383
Balkan	45131	44213	4376
Mittel- und Südamerika	38193	51741	529
Arabische Länder	38537	39452	339
Afrikanische Länder	36239	30464	504
Übrige Länder	75075	128932	1467
