	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
"Johanniterbrücke: Mo-Fr"	3061	3117	0	0	3273	0	3651	0	4476	4336	3709
"Johanniterbrücke: Sa"	2076	2102	0	0	2186	0	2408	0	3057	3094	2580
"Wettsteinbrücke: Mo-Fr"	7156	7066	6973	7630	8148	8138	8765	9296	9307	8325	7840
"Wettsteinbrücke: Sa"	3818	3641	3463	3878	3899	3993	4434	4839	4824	4694	4756
"Heuwaage-Viadukt: Mo-Fr"	2503	2314	0	0	2729	2790	2972	3181	3309	2836	2888
"Heuwaage-Viadukt: Sa"	1222	1094	0	0	1209	1226	1311	1401	1456	1397	1423
"Hammerstrasse 90: Mo-Fr"	0	0	1189	1367	1546	1468	1584	1902	1873	1707	1428
"Hammerstrasse 90: Sa"	0	0	883	1050	1106	1105	1193	1436	1428	1348	1092
