"Branche"	"2017"	"2018"	"2019"
"Sonst. wirtsch. DL"	2158	2260	2196
"Gastronomie"	974	1072	1325
"Schiffahrt, Luftfahrt"	928	994	1110
"Landverkehr"	583	603	613
"Chemie"	744	632	585
"Architektur- und Ingenieurbüros"	499	529	569
"Baunebengewerbe"	447	513	489
"Lagerei"	432	471	461
"Öff. Verwaltung"	364	389	411
"Heime"	290	300	345

