Jahr	zu Fuss	Velo	MIV	ÖV	Übrige Verkehrsmittel
2005 in % der Anz. Etappen	49.7	7.7	26.5	15.2	0.9
2010 in % der Anz. Etappen	49.7	7.6	23.1	18.6	1
