Jahr	Innenstadt	Am Ring	St Alban	Unteres Kleinbasel	Oberes Kleinbasel	Riehen Bettingen	Basel-Stadt
2003	50.724637681159	56.020942408376	58.620689655172	58.579881656804	57.971014492753	51.339285714285	54.201101928374
2005	63.736263736263	54.272517321016	56.375838926174	57.627118644067	57.522123893805	59.375	57.403651115618
2007	57.692307692307	62.371134020618	62.893081761006	61.052631578947	59.558823529411	62.686567164179	62.008141112618
2011	48.4375	68.997668997668	66.081871345029	69.060773480662	64.150943396226	64.912280701754	65.281501340482
2015	41.935483870967	52.631578947368	51.655629139072	51.449275362318	50.819672131147	53.658536585365	50.7215007215
