"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	3.152	7.706	0.9022	4.145	1.605
Bern	2.191	5.664	0.556		
Genève	4.753	10.63	2.893		3.334
Lausanne	3.241	6.689	1.53		
Zürich	3.927	7.932	2.232		
