	Basel-Stadt	Basel-Landschaft	Jura	Schweiz
 2014	41.0	31.4	21.6	31.9
 2015	41.3	31.5	23.5	32.7
 2016	43.9	33.0	24.0	33.9
 2017	43.9	32.7	24.5	34.7


