Klasse	Sehr gut	Eher gut	Eher nicht gut	Gar nicht gut	Keine Angabe
ch/dt	30.674846625766	56.237218813905	10.224948875255	1.022494887525	1.840490797546
ch/dt und andere	32.005689900426	54.623044096728	8.81934566145	1.422475106685	10.280373831775
andere	35.046728971962	50.934579439252	5.607476635514	2.33644859813	6.07476635514
	0	0	0	0	0
OS	30.034129692832	47.78156996587	5.802047781569	3.754266211604	12.627986348122
WBS	33.678756476683	53.367875647668	7.253886010362	0	5.699481865284
Gym	25.214899713467	59.598853868194	11.461318051575	1.719197707736	2.005730659025
Anderes	45.320197044334	46.79802955665	5.418719211822	0.985221674876	1.477832512315
	0	0	0	0	0
Männer	34.095634095634	51.143451143451	8.523908523908	2.079002079002	4.158004158004
Frauen	30	54.363636363636	7.454545454545	1.454545454545	6.727272727272
	0	0	0	0	0
Total	32.080924855491	52.601156069364	7.899807321772	1.830443159922	5.587668593448
