	Sekundarstufe	Sekundarstufe	Tertiärstufe	Ohne Angabe	Total
1990	58804	80648	22227	5090	166769
2000	45308	63483	31059	16662	156512
2010	39192	62023	48517	3506	153239
2011	40675	62926	52529	2484	158613
2012	37853	63654	54797	3028	159333
2013	39129	63228	57615		159972
2014	38152	62642	60432		161226
2015	38509	61450	61871		161831
