	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht / keine Angabe
Einpersonenhaushalt	49.2	35	5.1	1.8	8.9
Mehrpersonenhaushalt	49.7	34.2	3.9	1.1	11.1
.					
Männlich	52.5	32.3	4.2	1.4	9.7
Weiblich	45.8	37.2	4.6	1.3	11.2
..					
55-64	50.3	33.5	6.9	1.9	7.3
65-74	52	33.3	3.6	0.8	10.3
>74	46.7	36.5	2.4	1.3	13.2
...					
Schweiz	50.4	33.8	4.3	1.4	10.1
Ausland	41.1	40.2	4.7	0.9	13.1
....					
<5000 Fr.	52.3	33.1	5.8	1.8	6.9
5000- 7499 Fr.	48.9	37.9	6.1	0.6	6.4
>7499 Fr.	50.8	32.5	2.7	1.6	12.5
.....					
Grossbasel Ost	49.3	34.2	4.5	1.7	10.4
Grossbasel West	53.4	33.6	3.4	1.1	8.4
Kleinbasel	49.7	34.4	4.9	0.7	10.4
Riehen. Bettingen	44.8	35.3	5.2	2	12.7
......					
2011	47.4	37.5	5.4	0.8	8.9
2015	49.5	34.5	4.3	1.3	10.3
