	Kinderbetreuungsangebot	Angebot an Grünanlagen und Parks	Kulturangebot	Wohnungsangebot	Öffentliche Verkehrsmittel
Basel	78.6	88.8	91.4	64.8	96.0
Bern	85.9	94.8	90.4	54.9	97.7
Luzern	57.3		89.1		84.7
Zürich	67.9	82.2	90.7	30.1	91.6

