	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	259	917	277	23	16	0
2005	306	939	228	22	12	0
2007	226	984	264	16	15	0
2011	454	819	195	35	10	1
2015	367	922	173	23	16	0
2019	585	1021	293	48	15	85

