Jahr	Schweiz	Schweizer	Schweizerinnen	Ausland	Ausländer	Ausländerinnen	Verhältnis Ausland/Schweiz
2006	75.7	80.3	71.6	72.1	78.8	64.5	0.95
2007	77.9	83.9	72.3	73.7	80.9	65.8	0.95
2008	80.3	85.5	75.6	73.3	78.5	67.8	0.91
2009	77.4	78.2	76.7	73.5	81.8	63.7	0.95
2010	74.1	75.9	72.5	70.8	78.5	61.5	0.96
2011	75.9	72.6	78.7	69.8	75.6	63.2	0.92
2012	78.6	77.9	79.3	79.6	83.5	75.5	1.01
2013	79.1	80.1	78	78.9	82.4	75.5	1
2014	75.6	72.7	78.6	75	79.9	70.1	0.99
2015	76.5	74.9	78.3	75.9	76.9	74.8	0.99
