Jahr	Ausländeranteil in %
1997	26.707
1998	26.944
1999	27.481
2000	27.556
2001	28.022
2002	28.862
2003	29.431
2004	29.934
2005	30.427
2006	31.138
2007	31.262
2008	31.724
2009	32.454
2010	32.644
2011	33.370
2012	33.871
2013	34.561
2014	35.007
2015	35.287
2016	35.724
