Jahr	Nettoproduktion seit 2019	Zielwert
2019		
2020	672	
2021	1649	
2022	2818	
2023	3683	
2024	4194	
2025	4734	
2026		
2027		
2028		
2029		
2030		
2031		
2032		
2033		
2034		
2035		10000
