Jahr	Bis 3 Monate	4 bis 12 Monate	13 bis 36 Monate	Über 36 Monate
2006	498	1049	1948	NA
2007	452	862	1527	NA
2008	460	818	1273	NA
2009	516	943	1235	NA
2010	474	913	1399	NA
2011	501	1088	1479	NA
2012	485	1020	1597	NA
2013	534	948	1573	NA
2014	462	884	1521	NA
2015	527	1001	1477	NA
