Jahr	Note 10	Note 9	Note 8	Note 7	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1	Notendurchschnitt
2003 (N=1477)	120	104	576	351	144	137	23	14	3	5	7.376438727149
2005 (N=1500)	102	150	546	363	143	140	30	17	4	5	7.347333333333
2007 (N=1500)	105	160	571	372	130	114	26	13	4	5	7.445333333333
2011 (N=1513)	203	168	582	327	93	96	20	13	4	7	7.705882352941
2015 (N=1489)	173	223	590	281	93	93	16	14	2	4	7.764271323035
