Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	217	55.498721228
02	Vorstädte	277	60.348583878
03	Am Ring	850	75.022065313
04	Breite	70	10.835913313
05	St. Alban	183	16.209034544
06	Gundeldingen	477	34.047109208
07	Bruderholz	127	6.0765550239
08	Bachletten	180	7.2405470636
09	Gotthelf	593	61.008230453
10	Iselin	1073	74.462179042
11	St. Johann	1188	79.094540613
12	Altstadt Kleinbasel	83	32.936507937
13	Clara	166	72.807017544
14	Wettstein	31	4.5387994143
15	Hirzbrunnen	501	31.648768162
16	Rosental	208	68.196721311
17	Matthäus	732	64.55026455
18	Klybeck	279	65.339578454
19	Kleinhüningen	94	59.119496855
20	Riehen	1253	29.833333333
30	Bettingen	0	
