"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	0.489	0.45	0.507	-1.097	1.72
Bern	2.035	3.104	1.531		
Genève	4.473	5.209	4.093		7.67
Lausanne	4.394	5.345	3.923		
Zürich	4.067	4.475	3.903		
