""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.039492	14
"2013-02"	0.039492	13
"2013-03"	0.039492	14
"2013-04"	0.039492	14
"2013-05"	0.039492	14
"2013-06"	0.039492	12
"2013-07"	0.039492	12
"2013-08"	0.039492	12
"2013-09"	0.039492	14
"2013-10"	0.039492	10
"2013-11"	0.039492	9
"2013-12"	0.039492	9
"2014-01"	0.044597	9
"2014-02"	0.044597	9
"2014-03"	0.044597	9
"2014-04"	0.044597	11
"2014-05"	0.044597	14
"2014-06"	0.044597	15
"2014-07"	0.044597	18
"2014-08"	0.044597	14
"2014-09"	0.044597	14
"2014-10"	0.044597	14
"2014-11"	0.044597	18
"2014-12"	0.044597	21
"2015-01"	0.061522	22
"2015-02"	0.061522	22
"2015-03"	0.061522	21
"2015-04"	0.061522	19
"2015-05"	0.061522	21
"2015-06"	0.061522	17
"2015-07"	0.061522	16
"2015-08"	0.061522	16
"2015-09"	0.061522	14
"2015-10"	0.061522	17
"2015-11"	0.061522	20
"2015-12"	0.061522	24
"2016-01"	0.076298	21
"2016-02"	0.076298	27
"2016-03"	0.076298	26
"2016-04"	0.076298	25
"2016-05"	0.076298	25
"2016-06"	0.076298	25
"2016-07"	0.076298	25
"2016-08"	0.076298	22
"2016-09"	0.076298	22
"2016-10"	0.076298	24
"2016-11"	0.076298	23
"2016-12"	0.076298	19
"2017-01"	0.072268	20
"2017-02"	0.072268	22
"2017-03"	0.072268	25
"2017-04"	0.072268	25
"2017-05"	0.072268	26
"2017-06"	0.072268	26
"2017-07"	0.072268	24
"2017-08"	0.072268	22
"2017-09"	0.072268	20
"2017-10"	0.072268	20
"2017-11"	0.072268	21
"2017-12"	0.072268	18
"2018-01"	0.072268	22
"2018-02"	0.072268	22
"2018-03"	0.072268	21
"2018-04"	0.072268	23
"2018-05"	0.072268	23
"2018-06"	0.072268	18
"2018-07"	0.072268	25
"2018-08"	0.072268	24
"2018-09"	0.072268	23
"2018-10"	0.072268	22
"2018-11"	0.072268	24
"2018-12"	0.072268	22
"2019-01"	0.049970	19
"2019-02"	0.049970	16
"2019-03"	0.049970	18
"2019-04"	0.049970	16
"2019-05"	0.049970	14
"2019-06"	0.049970	11
"2019-07"	0.049970	14
"2019-08"	0.049970	13
"2019-09"	0.049970	16
"2019-10"	0.049970	17
"2019-11"	0.049970	16
"2019-12"	0.049970	16
"2020-01"	0.060716	15
"2020-02"	0.060716	13
"2020-03"	0.060716	19
"2020-04"	0.060716	20
"2020-05"	0.060716	20
"2020-06"	0.060716	19
"2020-07"	0.060716	21
"2020-08"	0.060716	18
"2020-09"	0.060716	19
"2020-10"	0.060716	17
"2020-11"	0.060716	21
"2020-12"	0.060716	24
"2021-01"	0.085969	29
"2021-02"	0.085969	28
"2021-03"	0.085969	23
"2021-04"	0.085969	24
"2021-05"	0.085969	26
"2021-06"	0.085969	21
"2021-07"	0.085969	25
"2021-08"	0.085969	30
"2021-09"	0.085969	30
"2021-10"	0.085969	29
"2021-11"	0.085969	29
"2021-12"	0.085969	26
"2022-01"	0.084895	23
"2022-02"	0.084895	27
"2022-03"	0.084895	29
"2022-04"	0.084895	29
"2022-05"	0.084895	27
"2022-06"	0.084895	24
"2022-07"	0.084895	30
"2022-08"	0.084895	26
"2022-09"	0.084895	27
"2022-10"	0.084895	25
"2022-11"	0.084895	24
"2022-12"	0.084895	25

