	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014	100.0	100.0	100.0	100.0	100.0
2015	102.4	101.2	97.6	101.5	100.1
2016	106.4	101.0	96.9	102.7	100.8
2017	113.1	103.6	99.1	105.3	101.5
2018	116.8	106.4	100.6	108.1	103.1







