"Jahr"	"Handel und Dienstleistungen"	"Industrie, Energie und Baugewerbe"	"Land- und Forstwirtschaft"
2005	103133.0375355	31286.2492895	56.5285923
2008	107149.1835021	32365.8786871	49.7946749
2011	113469.4738255	34181.1412366	78.9827738
2012	114173.1597420	34384.6897701	76.3286718
2013	116913.8450045	33789.6770645	77.5454808
2014	117924.8231423	34296.7085422	93.2760270
2015	116698.3649401	34852.2492882	81.8861819

