""	"2014"	"2015"	"2016"
"Personalvermittlung, -überlassung"	532	379	391
"Gross- und Detailhandel"	10	49	264
"Baugewerbe"	87	138	159
"Gesundheits- und Sozialwesen"	62	118	138
"Erziehung und Unterricht"	98	106	119
"Unternehmensverwaltung und -führung; Unternehmensberatung"	37	34	104
"Verkehr und Lagerei"	95	67	77
"Restliche Branchen"	26	43	46

