"Kanton"	"2014"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"	"2015"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"	"2016"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"	"2017"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"
"Basel-Stadt"	94249	96588	91911	94986	97318	92653	96637	98990	94284	97799	100138	95459
"Basel-Landschaft"	141157	143835	138479	142491	145218	139765	142824	145657	139991	143229	146045	140413
"Jura"	34756	35693	33819	34603	36002	33205	34116	35519	32713	33775	35199	32352
"BS/BL/JU"	270162	273838	266486	272081	275932	268230	273577	277518	269636	274803	278731	270875

