Wohnviertel	2010	2015
Altstadt GB	519483	519253
Vorstädte	928329	917959
Am Ring	517556	536448
Breite	92897	87666
St. Alban	1181456	1173793
Gundeldingen	629649	631156
Bruderholz	58457	58834
Bachletten	110886	110727
Gotthelf	98852	98852
Iselin	161315	161092
St. Johann	1183076	1137533
Altstadt KB	250620	249937
Clara	135777	135893
Wettstein	526004	562064
Hirzbrunnen	216817	199538
Rosental	581619	581619
Matthäus	147139	146954
Klybeck	825593	824751
Kleinhüningen	276237	275637
Riehen	207379	207567
Bettingen	29759	29759
