Jahr	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	keine Angaben
2003 (N=1497)	827	577	79	9	5
2005 (N=1510)	845	584	70	10	1
2007 (N=1509)	756	668	75	7	3
2011 (N=1516)	730	677	94	14	1
2015 (N=1506)	635	738	115	15	3
