	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014	100.0	100.0	100.0	100.0	100.0
2015	103.1	102.2	98.5	102.4	101.3
2016	106.2	102.5	98.5	104.3	103.1
2017	110.9	104.0	100.4	107.6	104.9
2018	115.1	107.2	102.8	111.3	107.8






