"Jahr"	"Index Mittlere Prämie"	"Index Median Einkommen"
2010	100.0	100.00
2011	106.3	100.60
2012	108.8	100.70
2013	108.9	101.50
2014	109.9	102.00
2015	113.9	102.20
2016	116.7	102.60
2017	121.4	103.10
2018	126.3	103.30
2019	126.4	103.80
2020	126.0	104.40
2021	126.6	105.90
