"Jahr"	"Klybeck"	"Klybeck 95% Konfidenzintervall Untergrenze"	"Klybeck 95% Konfidenzintervall Obergrenze"	"Kleinhüningen"	"Kleinhüningen 95% Konfidenzintervall Untergrenze"	"Kleinhüningen 95% Konfidenzintervall Obergrenze"
1990	0.61059	"."	"."	0.58789	"."	"."
2000	0.70618	"."	"."	0.70472	"."	"."
"2013-2017"	0.66932	0.62093	0.71772	0.72045	0.64334	0.79756

