	Trifft zu	Trifft nicht zu	Weiss nicht	Keine Angabe
Männlich	380	105	51	18	554
Weiblich	218	191	132	29	570
.
2009	449	265	144	23
2013	503	330	177	28
2017	609	301	187	49
