Jahr	Industrie	 Gewerbe
1970	63919	87821
1980	50791	70332
1990	58804	80648
2000	45308	63483
2010	39192	62023
2011	40675	62926
2012	37853	63654
2013	39129	63228
2014	38152	62642
2015	38509	61450
