	Werktage	Wochenende
916 Stückisteg	92.9	94.4
914 Hiltalingerstrasse	76.7	89.6
911 Birskopfsteg	56.3	79.7
403 Heuwaage-Viadukt	54.0	46.9
354 Wettsteinbrücke	50.9	60.1
905 Leimenstrasse 4	49.6	63.1
902 Viaduktstrasse	49.4	54.9
