"Kanton"	"Jahr"	"Zimmerzahl"	"Leerwohnungen"	"Anteil_Leerwohnungen"	"Leerstandsquote"	"Legende"
"BL"	2020	"1 Zimmer"	30	0.019	0.007	"1 Zimmer (0.7%)"
"BL"	2020	"2 Zimmer"	172	0.106	0.012	"2 Zimmer (1.2%)"
"BL"	2020	"3 Zimmer"	712	0.440	0.018	"3 Zimmer (1.8%)"
"BL"	2020	"4 Zimmer"	537	0.332	0.012	"4 Zimmer (1.2%)"
"BL"	2020	"5 Zimmer"	107	0.066	0.004	"5 Zimmer (0.4%)"
"BL"	2020	"6 Zimmer"	59	0.036	0.004	"6 Zimmer (0.4%)"

