Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	>69 J.	Männer	Männer	Total
2003	94.327894327894	92.682926829268	96.618357487922	95.726495726495	95.471698113207	96.590909090909	88.967971530249	95.703703703703	95.703703703703	94.101876675603
2005	94.688221709006	94.761904761904	95.964125560538	95.575221238938	97.269624573378	93.181818181818	94.252873563218	95.448079658605	95.448079658605	94.698475811795
2007	94.277108433734	96.629213483146	96.682464454976	96.045197740112	95.762711864406	95.667870036101	90.697674418604	95.670995670995	95.670995670995	94.555112881806
2011	92.467332820906	95.327102803738	96.648044692737	92.98245614035	95.358649789029	95.20295202952	90.101522842639	94.807121661721	94.807121661721	92.871287128712
2015	91.284748309541	91.860465116279	95.876288659793	91.666666666666	92.528735632183	93.014705882352	87.968441814595	92.721979621542	92.721979621542	91.350632069194
2003_n	1287	205	207	234	265	264	281	675	675	1492
2005_n	1299	210	223	226	293	264	261	703	703	1509
2007_n	1328	178	211	177	236	277	344	693	693	1506
2011_n	1301	214	179	171	237	271	394	674	674	1515
2015_n	1331	172	97	120	174	272	507	687	687	1503
