Wohnviertel	Nettoproduktion  2007 bis  2016
Altstadt GB	22
Altstadt KB	1
Am Ring	55
Bachletten	57
Bettingen	15
Breite	131
Bruderholz	84
Clara	18
Gotthelf	-28
Gundeldingen	306
Hirzbrunnen	187
Iselin	60
Kleinhüningen	92
Klybeck	4
Matthäus	76
Riehen	228
Rosental	863
St. Alban	116
St. Johann	291
Vorstädte	131
Wettstein	112
