"Jahr"	"Basel-Stadt"	"Basel-Landschaft"	"Aargau"	"Zürich"
2005	134475.82	104939.55	229597.25	650526.46
2006	""	""	""	""
2007	""	""	""	""
2008	139564.86	112546.74	251163.38	706328.87
2009	""	""	""	""
2010	""	""	""	""
2011	147729.6	115066.18	254010.32	756404.6
2012	148634.18	113547.65	255160.38	760225.06
2013	150781.07	114976.18	258873.76	771128.09
2014	152314.81	116661.86	260990.42	782669.95
2015	151632.5	117286.06	261748.73	788497.91

