Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2011 18-29	10.1	13.4	41.3	27.9	3.4	1.7	2.2	0.0	0.0	0.6
2011 30-39	8.8	12.3	40.4	30.4	4.1	1.8	0.0	1.2	0.6	0.4
2011 40-49	9.3	13.9	38.8	24.9	7.2	5.1	0.4	0.0	0.0	0.0
2011 50-59	9.2	11.4	42.6	22.1	5.5	6.6	1.8	0.4	0.4	0.4
2011 60-69	14.1	10.3	35.5	20.2	8.0	9.2	1.1	1.1	0.0	1.0
2011 > 69	21.9	8.2	35.2	13.5	6.9	9.2	1.8	1.8	0.5	
.
2015 18-29	11.3	17.5	44.3	20.6	4.1	1.0	0.0	1.0	0.0	0.0
2015 30-39	11.7	19.2	40.0	20.8	2.5	2.5	2.5	0.0	0.0	0.8
2015 40-49	8.1	18.5	43.9	18.5	2.9	4.0	2.3	1.7	0.0	0.0
2015 50-59	11.0	18.4	37.1	18.8	8.5	4.8	0.7	0.4	0.4	0.0
2015 60-69	9.7	13.3	41.2	20.0	7.3	5.5	1.8	0.9	0.0	0.3
2015 > 69	14.5	11.5	37.4	17.5	6.8	10.3	0.2	1.2	0.2	0.4
