Jahr	Bern	Genf	Liestal	Zürich	Basel
2006	11365	20862	17485	14686	17355
2007	11365	20862	17485	14687	17355
2008	11165	20862	18991	14534	17936
2009	11365	15614	15790	14534	17936
2010	11348	15599	9100	14534	17936
2011	8929	15519	12529	14534	17936
2012	8929	15519	12529	14516	17936
2013	8929	15519	12529	14501	17936
2014	8929	15519	12529	14501	17936
2015	8929	15523	12529	14501	17936
