Jahr	 Männer	 Frauen
2006	38.2	25.8
2007	37.3	26.0
2008	44.3	29.2
2009	42.5	28.8
2010	35.9	23.2
2011	35.0	22.2
2012	39.3	20.9
2013	38.6	28.9
2014	37.8	24.7
