Kanton	2013	2014	Zuwachs %	Sortierung
Basel-Stadt	1047	1352	0.291308500477555	1
Zürich	7708	8212	6.53866113129216E-02	2
Genf	2586	2623	0.01430781129157	3
Basel-Landschaft	1016	1366	0.344488188976378	4
Aargau	2540	2764	8.81889763779528E-02	5
Schweiz	37317	42478	0.138301578369108	6
