	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht / keine Angabe
Einpersonenhaushalt	33.6	45.7	10.1	2.2	8.5
Mehrpersonenhaushalt	31.3	49.1	11.7	1.5	6.4
.					
Männlich	33.8	45.4	10.8	2.3	7.7
Weiblich	30	50.7	11.6	1.1	6.5
..					
55-64	31.4	46.5	11.7	1.7	8.6
65-74	28.6	53.9	9.9	1.7	5.9
>74	36.5	43	11.9	1.9	6.7
...					
Schweiz	32.2	47.8	11.2	1.6	7.1
Ausland	30.8	48.6	11.2	3.7	5.6
....					
<5000 Fr.	28.9	47	11.6	2.9	9.6
5000- 7499 Fr.	33.9	47.7	11.9	1.8	4.6
>7499 Fr.	33.2	49.4	11.8	0.7	4.9
.....					
Grossbasel Ost	36.9	45.5	9.4	1.5	6.7
Grossbasel West	27.9	52.3	11.4	1.1	7.3
Kleinbasel	31.9	45.1	10.8	3.1	9
Riehen. Bettingen	32.5	49.2	12.3	1.2	4.8
......					
2011	34.3	45.8	10.2	0.9	8.8
2015	32.1	47.9	11.1	1.8	7.1
