""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.025328	32
"2014-02"	0.025328	33
"2014-03"	0.025328	39
"2014-04"	0.025328	41
"2014-05"	0.025328	48
"2014-06"	0.025328	49
"2014-07"	0.025328	52
"2014-08"	0.025328	48
"2014-09"	0.025328	49
"2014-10"	0.025328	45
"2014-11"	0.025328	46
"2014-12"	0.025328	50
"2015-01"	0.030804	52
"2015-02"	0.030804	54
"2015-03"	0.030804	54
"2015-04"	0.030804	55
"2015-05"	0.030804	56
"2015-06"	0.030804	56
"2015-07"	0.030804	49
"2015-08"	0.030804	55
"2015-09"	0.030804	53
"2015-10"	0.030804	58
"2015-11"	0.030804	54
"2015-12"	0.030804	51
"2016-01"	0.029851	52
"2016-02"	0.029851	53
"2016-03"	0.029851	54
"2016-04"	0.029851	57
"2016-05"	0.029851	53
"2016-06"	0.029851	59
"2016-07"	0.029851	56
"2016-08"	0.029851	47
"2016-09"	0.029851	43
"2016-10"	0.029851	49
"2016-11"	0.029851	53
"2016-12"	0.029851	51
"2017-01"	0.030375	57
"2017-02"	0.030375	55
"2017-03"	0.030375	52
"2017-04"	0.030375	52
"2017-05"	0.030375	59
"2017-06"	0.030375	60
"2017-07"	0.030375	59
"2017-08"	0.030375	59
"2017-09"	0.030375	48
"2017-10"	0.030375	44
"2017-11"	0.030375	48
"2017-12"	0.030375	45
"2018-01"	0.029756	44
"2018-02"	0.029756	43
"2018-03"	0.029756	43
"2018-04"	0.029756	42
"2018-05"	0.029756	48
"2018-06"	0.029756	52
"2018-07"	0.029756	51
"2018-08"	0.029756	58
"2018-09"	0.029756	59
"2018-10"	0.029756	63
"2018-11"	0.029756	60
"2018-12"	0.029756	62
"2019-01"	0.034231	63
"2019-02"	0.034231	62
"2019-03"	0.034231	56
"2019-04"	0.034231	58
"2019-05"	0.034231	62
"2019-06"	0.034231	60
"2019-07"	0.034231	55
"2019-08"	0.034231	62
"2019-09"	0.034231	61
"2019-10"	0.034231	59
"2019-11"	0.034231	61
"2019-12"	0.034231	60
"2020-01"	0.039849	60
"2020-02"	0.039849	62
"2020-03"	0.039849	67
"2020-04"	0.039849	66
"2020-05"	0.039849	73
"2020-06"	0.039849	74
"2020-07"	0.039849	76
"2020-08"	0.039849	79
"2020-09"	0.039849	75
"2020-10"	0.039849	72
"2020-11"	0.039849	69
"2020-12"	0.039849	64
"2021-01"	0.041801	73
"2021-02"	0.041801	78
"2021-03"	0.041801	79
"2021-04"	0.041801	78
"2021-05"	0.041801	81
"2021-06"	0.041801	75
"2021-07"	0.041801	75
"2021-08"	0.041801	71
"2021-09"	0.041801	72
"2021-10"	0.041801	66
"2021-11"	0.041801	65
"2021-12"	0.041801	65
"2022-01"	0.030708	61
"2022-02"	0.030708	54
"2022-03"	0.030708	48
"2022-04"	0.030708	59
"2022-05"	0.030708	57
"2022-06"	0.030708	61
"2022-07"	0.030708	58
"2022-08"	0.030708	54
"2022-09"	0.030708	49
"2022-10"	0.030708	46
"2022-11"	0.030708	50
"2022-12"	0.030708	48
"2023-01"	0.033803	51
"2023-02"	0.033803	52
"2023-03"	0.033803	51
"2023-04"	0.033803	57
"2023-05"	0.033803	52
"2023-06"	0.033803	52
"2023-07"	0.033803	53
"2023-08"	0.033803	57
"2023-09"	0.033803	60
"2023-10"	0.033803	67
"2023-11"	0.033803	72
"2023-12"	0.033803	86

