Jahr	Recyclingquote	Recycling Haushalte	Abfall Haushalte
2005	42.2268689878223	24859	34011.1
2006	42.4589477998753	24861.2	33692.3
2007	42.6315518041636	24799.2	33371.8
2008	45.2171154005188	26792	32459.9
2009	42.0332555378261	25736.5	35492.4
2010	42.9429182016434	25540	33934.3
2011	43.8809868964368	24760.9	31666.5
2012	44.6693932848942	26245.1	32509
2013	44.013497845658	25016.7	31822
2014	43.501679389313	24931.9	32380.6
2015	44.0140769086907	24475.7	31133.1
