Wohnviertel Id	wohnviertel	MeanReinvermögen
1	Altstadt Grossbasel	1015165
2	Iselin	1392666
3	St. Johann	435416
4	Altstadt Kleinbasel	140160
5	Clara	1033797
6	Wettstein	145346
7	Hirzbrunnen	2519406
8	Rosental	413563
9	Matthäus	229962
10	Klybeck	130113
11	Kleinhüningen	131943
12	Vorstädte	249077
13	Riehen	130164
14	Am Ring	296022
15	Bettingen	186072
16	Breite	76964
17	St. Alban	128623
18	Gundeldingen	59248
19	Bruderholz	68636
20	Bachletten	642705
30	Gotthelf	2359934
