Jahr	Gundeldingen	Gundeldingen 95% Konfidenzintervall Untergrenze	Gundeldingen 95% Konfidenzintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Konfidenzintervall Untergrenze	Basel-Stadt 95% Konfidenzintervall Obergrenze
2011	0.969262	0.939425	0.999098	0.961992	0.952079	0.971905
2015	1	1	1	0.956969	0.94566	0.968277
2019	0.947366	0.913678	0.981055	0.916975	0.902705	0.931246
2023	0.955209	0.91673	0.993688	0.926294	0.912985	0.939603

