Jahr	Innenstadt	Am Ring	St Alban	Unteres	Oberes	Riehen-Bettingen	Basel-Stadt
2003	69.444444444444	85.532994923857	86.986301369863	65.340909090909	87.05035971223	97.413793103448	82.67558528428
2005	62.765957446808	88.487584650112	86.577181208053	59.340659340659	84.210526315789	94.444444444444	81.908548707753
2007	77.777777777777	91.111111111111	86.335403726708	58.638743455497	85.294117647058	95.121951219512	83.455149501661
2011	80.597014925373	92.413793103448	93.60465116279	72.527472527472	88.288288288288	98.268398268398	88.720316622691
2015	91.304347826086	94.660194174757	94.444444444444	76.666666666666	91.472868217054	97.391304347826	91.289893617021
