""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.073315	268
"2014-02"	0.073315	245
"2014-03"	0.073315	236
"2014-04"	0.073315	206
"2014-05"	0.073315	172
"2014-06"	0.073315	145
"2014-07"	0.073315	147
"2014-08"	0.073315	145
"2014-09"	0.073315	163
"2014-10"	0.073315	181
"2014-11"	0.073315	233
"2014-12"	0.073315	325
"2015-01"	0.089666	329
"2015-02"	0.089666	312
"2015-03"	0.089666	305
"2015-04"	0.089666	268
"2015-05"	0.089666	236
"2015-06"	0.089666	207
"2015-07"	0.089666	185
"2015-08"	0.089666	177
"2015-09"	0.089666	188
"2015-10"	0.089666	213
"2015-11"	0.089666	271
"2015-12"	0.089666	325
"2016-01"	0.100726	355
"2016-02"	0.100726	354
"2016-03"	0.100726	327
"2016-04"	0.100726	308
"2016-05"	0.100726	294
"2016-06"	0.100726	268
"2016-07"	0.100726	240
"2016-08"	0.100726	218
"2016-09"	0.100726	219
"2016-10"	0.100726	220
"2016-11"	0.100726	262
"2016-12"	0.100726	323
"2017-01"	0.086218	340
"2017-02"	0.086218	304
"2017-03"	0.086218	283
"2017-04"	0.086218	254
"2017-05"	0.086218	230
"2017-06"	0.086218	203
"2017-07"	0.086218	177
"2017-08"	0.086218	194
"2017-09"	0.086218	172
"2017-10"	0.086218	195
"2017-11"	0.086218	238
"2017-12"	0.086218	310
"2018-01"	0.088091	329
"2018-02"	0.088091	310
"2018-03"	0.088091	298
"2018-04"	0.088091	263
"2018-05"	0.088091	221
"2018-06"	0.088091	194
"2018-07"	0.088091	186
"2018-08"	0.088091	183
"2018-09"	0.088091	184
"2018-10"	0.088091	204
"2018-11"	0.088091	257
"2018-12"	0.088091	334
"2019-01"	0.085474	354
"2019-02"	0.085474	327
"2019-03"	0.085474	292
"2019-04"	0.085474	263
"2019-05"	0.085474	241
"2019-06"	0.085474	203
"2019-07"	0.085474	171
"2019-08"	0.085474	172
"2019-09"	0.085474	165
"2019-10"	0.085474	174
"2019-11"	0.085474	230
"2019-12"	0.085474	283
"2020-01"	0.098615	299
"2020-02"	0.098615	278
"2020-03"	0.098615	271
"2020-04"	0.098615	283
"2020-05"	0.098615	282
"2020-06"	0.098615	268
"2020-07"	0.098615	263
"2020-08"	0.098615	257
"2020-09"	0.098615	240
"2020-10"	0.098615	249
"2020-11"	0.098615	269
"2020-12"	0.098615	358
"2021-01"	0.107504	381
"2021-02"	0.107504	373
"2021-03"	0.107504	361
"2021-04"	0.107504	330
"2021-05"	0.107504	293
"2021-06"	0.107504	284
"2021-07"	0.107504	273
"2021-08"	0.107504	263
"2021-09"	0.107504	246
"2021-10"	0.107504	236
"2021-11"	0.107504	263
"2021-12"	0.107504	313
"2022-01"	0.086307	324
"2022-02"	0.086307	312
"2022-03"	0.086307	282
"2022-04"	0.086307	267
"2022-05"	0.086307	243
"2022-06"	0.086307	227
"2022-07"	0.086307	213
"2022-08"	0.086307	195
"2022-09"	0.086307	188
"2022-10"	0.086307	188
"2022-11"	0.086307	204
"2022-12"	0.086307	260
"2023-01"	0.085118	276
"2023-02"	0.085118	276
"2023-03"	0.085118	251
"2023-04"	0.085118	238
"2023-05"	0.085118	204
"2023-06"	0.085118	200
"2023-07"	0.085118	208
"2023-08"	0.085118	215
"2023-09"	0.085118	220
"2023-10"	0.085118	222
"2023-11"	0.085118	259
"2023-12"	0.085118	294

