	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
Einpersonenhaushalt	3	12.8	12.6	39.9	9.1	22.5
Mehrpersonenhaushalt	1.5	8.9	11.7	56.2	5.4	16.2
.						
Männlich	2.9	11	12.6	44.5	7.2	21.8
Weiblich	1	9.6	11.5	57.9	6.2	13.9
..						
55-64	2.1	11.5	14	57.9	5	9.4
65-74	1.7	10.3	12.2	56.2	6.5	13.1
>74	2.4	9.1	9.9	37.1	8.4	33
...						
Schweiz	2.1	10.5	12.4	49.8	6.5	18.7
Ausland	1.9	8.4	9.3	58.9	9.3	12.1
....						
<5000 Fr.	2.9	8.9	10.1	43.4	9.6	25.1
5000- 7499 Fr.	1.8	13.1	11.9	51.7	4	17.4
>7499 Fr.	2	11.1	14	58.4	4.2	10.2
.....						
Grossbasel Ost	0.7	8.9	12.6	49.5	8.4	19.8
Grossbasel West	2.7	9.1	12.3	55.5	5.9	14.4
Kleinbasel	3.1	13.9	10.1	46.5	6.3	20.1
Riehen, Bettingen	2	10.7	13.5	48.8	5.6	19.4
......						
2011	1.5	6.7	7.5	53.1	8.1	23.1
2015	2	10.3	12.1	50.5	6.7	18.4
